,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,10091,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'btc-ecosystem']",21000000.0,19318268.0,19318268.0,,1,,,,2023-03-15T14:37:00.000Z,24772.22680259313,47939663645.783516,-9.4615,-0.96512677,-4.73441649,12.71876194,14.55574494,17.54239664,41.26208411,478556516329.27716,44.2264,520216762854.46,,2023-03-15T14:37:00.000Z,,,,,,2023-03-15 14:39:23.081127+00:00
1,1027,Ethereum,ETH,ethereum,6577,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem']",,122373866.2178,122373866.2178,,2,,,,2023-03-15T14:37:00.000Z,1663.6331209885354,13749860633.15138,-11.2681,-1.29443978,-4.82024465,7.44528315,12.16658573,8.03575488,30.30839506,203585216983.35214,18.8053,203585216983.35,,2023-03-15T14:37:00.000Z,,,,,,2023-03-15 14:39:23.081127+00:00
2,825,Tether,USDT,tether,49430,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,73398710308.3793,73141766321.23428,,3,,,,2023-03-15T14:37:00.000Z,1.0026706187335235,67412846623.40263,-5.7043,-0.09499267,0.00952602,0.26387464,0.15267126,0.24649728,0.25387836,73594730279.14532,6.7983,73337100092.57,,2023-03-15T14:37:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-03-15 14:39:23.081127+00:00
3,1839,BNB,BNB,bnb,1214,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain']",,157892039.24101007,159979963.59042934,,4,,,,2023-03-15T14:37:00.000Z,308.33688732987383,696720959.8778422,-19.0641,-0.81643282,-3.17303904,7.2970402,6.29453658,0.44117461,16.83201081,48683939913.73934,4.4992,49327724008.62,,2023-03-15T14:37:00.000Z,,,,,,2023-03-15 14:39:23.081127+00:00
4,3408,USD Coin,USDC,usd-coin,10738,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,38436998274.46083,38436998274.46083,,5,,,,2023-03-15T14:37:00.000Z,0.9992603259276046,7661786238.803439,1.6096,0.03347838,0.14234556,-0.064451,-0.05749456,-0.07302485,-0.06269328,38408567423.416504,3.5496,38408567423.42,,2023-03-15T14:37:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-03-15 14:39:23.081127+00:00
5,52,XRP,XRP,xrp,903,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,50950912949.0,99989113908.0,,6,,,,2023-03-15T14:37:00.000Z,0.36536576485403466,1222827786.942246,-21.5789,-1.10515996,-4.76898861,-6.83702723,-0.9765654,-7.73598376,-4.07353468,18615719279.622723,1.7204,36536576485.4,,2023-03-15T14:37:00.000Z,,,,,,2023-03-15 14:39:23.081127+00:00
6,2010,Cardano,ADA,cardano,678,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano']",45000000000.0,34703338047.957,35573698990.423,,7,,,,2023-03-15T14:37:00.000Z,0.3340028102679788,607438459.9276884,10.1227,-1.43649562,-8.6672172,4.58619645,-5.33177885,-5.88425686,10.61786001,11591012433.697311,1.0707,15030126462.06,,2023-03-15T14:37:00.000Z,,,,,,2023-03-15 14:39:23.081127+00:00
7,3890,Polygon,MATIC,polygon,611,2019-04-28T00:00:00.000Z,"['platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem']",10000000000.0,8734317475.28493,10000000000.0,,8,,,,2023-03-15T14:37:00.000Z,1.1565038265900633,828566861.3113086,-19.4062,-2.47595647,-6.26004153,6.05208099,-0.87736647,15.15342123,30.0945383,10101271582.81948,0.9331,11565038265.9,,2023-03-15T14:37:00.000Z,,,,,,2023-03-15 14:39:23.081127+00:00
8,74,Dogecoin,DOGE,dogecoin,657,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,132670764299.89409,132670764299.89409,,9,,,,2023-03-15T14:37:00.000Z,0.0723717654021143,542073317.1025074,-10.3678,-1.86303663,-6.46444352,-0.32777939,-11.30154429,-17.56046444,-17.03620917,9601617429.631136,0.8873,9601617429.63,,2023-03-15T14:37:00.000Z,,,,,,2023-03-15 14:39:23.081127+00:00
9,4687,Binance USD,BUSD,binance-usd,6429,2019-09-20T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'binance-chain', 'harmony-ecosystem', 'moonriver-ecosystem', 'usd-stablecoin', 'optimism-ecosystem']",,8369923985.893375,8369923985.893375,,10,,,,2023-03-15T14:37:00.000Z,0.9996456606336452,9283301208.870888,-6.5268,-0.03707757,0.01306475,-0.06731679,0.02079126,-0.07167516,0.00492297,8366958192.331777,0.7732,8366958192.33,,2023-03-15T14:37:00.000Z,1839.0,BNB,BNB,bnb,BUSD-BD1,2023-03-15 14:39:23.081127+00:00
10,5426,Solana,SOL,solana,439,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio']",,383093962.9822539,539312704.8875339,,11,,,,2023-03-15T14:37:00.000Z,20.22587943534495,889553761.2055779,-24.2193,-2.18649727,-7.89663647,7.36679793,-1.36114589,-12.37057189,44.30976872,7748412307.687569,0.7164,10908073747.01,,2023-03-15T14:37:00.000Z,,,,,,2023-03-15 14:39:23.081127+00:00
